learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.234375,2.817735852052768E-9,10000.0,79.91,69.84091103086769,70.04622036678097,69.52828757773396,10000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.390625,4.696226420087947E-9,20000.0,79.905,69.82526300832707,69.80919471153847,69.48599195201581,20000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.515625,6.19901887451609E-9,30000.0,79.65,69.44933086953654,69.32314959047284,69.21176055272579,30000.0,46472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.65625,8.27557717760404E-9,40000.0,79.67,69.48798632000694,69.40211461037738,69.30046434368982,40000.0,57080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
50000.0,0.765625,1.0905237609727515E-8,50000.0,79.9,69.83120847520257,69.7653429602888,69.59336802614062,50000.0,92936.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,0.890625,1.4286197256296873E-8,60000.0,80.12,70.166278016866,70.17105131539462,69.98716755151851,60000.0,104552.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.03125,1.8898281268775464E-8,70000.0,80.47714285714285,70.70633954017754,70.75164797534458,70.52518063194219,70000.0,126776.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
80000.0,1.171875,2.4392211344093085E-8,80000.0,80.82000000000001,71.22390267545242,71.28043872948136,71.1155453484432,80000.0,151016.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
90000.0,1.3125,3.028428182005882E-8,90000.0,81.0488888888889,71.56929879570477,71.60362280234416,71.47778390942993,90000.0,161960.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
100000.0,1.4375,3.552167779869503E-8,100000.0,81.272,71.90493915550124,71.91993402803809,71.80834249070465,100000.0,161960.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,1.5625,4.0780804637405604E-8,110000.0,81.42727272727272,72.13943924946355,72.1320420133679,72.06115639188228,110000.0,162632.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
120000.0,1.703125,4.827038436714145E-8,120000.0,81.5575,72.33684122797929,72.32933233308327,72.27977003143906,120000.0,205872.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
130000.0,1.84375,5.580303776595327E-8,130000.0,81.73923076923076,72.60937398255473,72.59219063892672,72.54718290313627,130000.0,207056.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
140000.0,1.984375,6.454204493719669E-8,140000.0,81.80857142857143,72.7126069647983,72.72065124250216,72.62741557576147,140000.0,240216.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,2.125,7.328105210844012E-8,150000.0,81.892,72.83799609229304,72.85184555876502,72.73603276253188,150000.0,240216.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
160000.0,2.265625,8.327588956389161E-8,160000.0,81.924375,72.88621844729474,72.90874346628698,72.79508597659631,160000.0,274736.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
170000.0,2.390625,9.252444013125365E-8,170000.0,81.98176470588236,72.97272707919056,72.99520400606552,72.88260134387421,170000.0,286000.0,49.0,25.0,25.0,7.0,0.0,0.0,1.0
180000.0,2.53125,1.0374978753841584E-7,180000.0,82.03611111111111,73.05429332770534,73.0674085241423,72.97173044452245,180000.0,308560.0,53.0,27.0,27.0,7.0,0.0,0.0,1.0
190000.0,2.6875,1.1750781494710179E-7,190000.0,82.06631578947369,73.10002321198843,73.09168443496802,73.01304440801198,190000.0,340360.0,59.0,30.0,30.0,8.0,0.0,0.0,1.0
200000.0,2.828125,1.307352148513827E-7,200000.0,82.10300000000001,73.1545299004846,73.14335449211423,73.06129207056415,200000.0,363592.0,63.0,32.0,32.0,8.0,0.0,0.0,1.0
210000.0,2.984375,1.4638499123975635E-7,210000.0,82.14857142857143,73.22277741231069,73.22037046297156,73.1276522536988,210000.0,387160.0,67.0,34.0,34.0,8.0,0.0,0.0,1.0
220000.0,3.125,1.6084988601505757E-7,220000.0,82.22909090909091,73.3432385274434,73.33678876620586,73.24500773305229,220000.0,397608.0,69.0,35.0,35.0,8.0,0.0,0.0,1.0
230000.0,3.28125,1.7746558619870082E-7,230000.0,82.30521739130435,73.4580770513745,73.43940689304105,73.37302495992674,230000.0,411056.0,71.0,36.0,36.0,8.0,0.0,0.0,1.0
240000.0,3.421875,1.9281785676462785E-7,240000.0,82.38,73.56993218691585,73.55380170354341,73.48964047268281,240000.0,422000.0,73.0,37.0,37.0,8.0,0.0,0.0,1.0
250000.0,3.5625,2.086296768134667E-7,250000.0,82.4584,73.68723746633634,73.67422650706558,73.60546019211786,250000.0,434632.0,75.0,38.0,38.0,8.0,0.0,0.0,1.0
260000.0,3.71875,2.2664074397956334E-7,260000.0,82.505,73.7571807341699,73.75093773443359,73.67513354283498,260000.0,445576.0,77.0,39.0,39.0,8.0,0.0,0.0,1.0
270000.0,3.859375,2.436714324479302E-7,270000.0,82.54814814814814,73.82178905524398,73.81349338668446,73.7497423441391,270000.0,468136.0,81.0,41.0,41.0,8.0,0.0,0.0,1.0
280000.0,4.015625,2.6262158321009745E-7,280000.0,82.60178571428571,73.9019621420078,73.9002084125819,73.8285573069443,280000.0,468808.0,81.0,41.0,41.0,8.0,0.0,0.0,1.0
290000.0,4.15625,2.7967671889604797E-7,290000.0,82.64241379310346,73.96259512008544,73.95118013258057,73.88821164570095,290000.0,468808.0,81.0,41.0,41.0,8.0,0.0,0.0,1.0
300000.0,4.328125,3.010085007796685E-7,300000.0,82.68100000000001,74.0206438139458,74.00694388857761,73.93849410372036,300000.0,479752.0,83.0,42.0,42.0,8.0,0.0,0.0,1.0
310000.0,4.484375,3.216874190709657E-7,310000.0,82.70838709677419,74.06169285194247,74.047050735198,73.97851445880805,310000.0,511576.0,89.0,45.0,45.0,8.0,0.0,0.0,1.0
320000.0,4.625,3.4035956357709235E-7,320000.0,82.76281250000001,74.14350772625804,74.1361767174481,74.05820548756974,320000.0,513256.0,89.0,45.0,45.0,8.0,0.0,0.0,1.0
330000.0,4.78125,3.628209297959175E-7,330000.0,82.78515151515151,74.17711654730613,74.17138752239185,74.09388566633832,330000.0,555672.0,97.0,49.0,49.0,8.0,0.0,0.0,1.0
340000.0,4.953125,3.8760313246813085E-7,340000.0,82.83735294117646,74.25534447654071,74.24868271242089,74.17711772150778,340000.0,557352.0,97.0,49.0,49.0,8.0,0.0,0.0,1.0
350000.0,5.109375,4.108991318692764E-7,350000.0,82.88514285714285,74.32678100342635,74.32888782227099,74.25031809897176,350000.0,576320.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
360000.0,5.25,4.3238241535921893E-7,360000.0,82.93416666666667,74.39984427233773,74.41084593277522,74.31606494874667,360000.0,590528.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
370000.0,5.421875,4.597325136678087E-7,370000.0,82.96594594594595,74.44740715510544,74.463447146961,74.35987144542534,370000.0,615104.0,107.0,54.0,54.0,8.0,0.0,0.0,1.0
380000.0,5.578125,4.846369847655296E-7,380000.0,83.0092105263158,74.51251617490718,74.52544693409719,74.42909534483988,380000.0,616112.0,107.0,54.0,54.0,8.0,0.0,0.0,1.0
390000.0,5.734375,5.103819098116623E-7,390000.0,83.04666666666667,74.56831842912432,74.57567158095503,74.48304607238512,390000.0,636904.0,113.0,57.0,57.0,9.0,0.0,0.0,1.0
400000.0,5.90625,5.396766937337815E-7,400000.0,83.065,74.59592229515536,74.60153200679393,74.51026136953725,400000.0,658840.0,115.0,58.0,58.0,10.0,0.0,0.0,1.0
410000.0,6.0625,5.668024338471392E-7,410000.0,83.0919512195122,74.63649810697875,74.64049370612487,74.55214895085386,410000.0,671064.0,119.0,60.0,60.0,10.0,0.0,0.0,1.0
420000.0,6.25,6.013812768893936E-7,420000.0,83.1247619047619,74.68602006395773,74.69319841323681,74.60833802049933,420000.0,712872.0,125.0,63.0,63.0,10.0,0.0,0.0,1.0
430000.0,6.40625,6.309792257121039E-7,430000.0,83.15767441860466,74.7355050158904,74.74508655200793,74.65928136798313,430000.0,732224.0,129.0,65.0,65.0,10.0,0.0,0.0,1.0
440000.0,6.59375,6.670846616745822E-7,440000.0,83.18772727272727,74.78056283013716,74.79548203546909,74.7091383383534,440000.0,744344.0,131.0,66.0,66.0,10.0,0.0,0.0,1.0
450000.0,6.734375,6.946352206998401E-7,450000.0,83.20377777777777,74.80452756368064,74.82379353532124,74.73357312866044,450000.0,757304.0,133.0,67.0,67.0,10.0,0.0,0.0,1.0
460000.0,6.890625,7.262132001212901E-7,460000.0,83.2254347826087,74.83719154291173,74.85146449651108,74.76568580641363,460000.0,781208.0,137.0,69.0,69.0,10.0,0.0,0.0,1.0
470000.0,7.078125,7.661153277796176E-7,470000.0,83.23234042553192,74.84755769549317,74.85466322070133,74.77675856638993,470000.0,822616.0,145.0,73.0,73.0,10.0,0.0,0.0,1.0
480000.0,7.265625,8.076666724971599E-7,480000.0,83.24479166666666,74.86621565412062,74.87472508247525,74.7994610515761,480000.0,856616.0,151.0,76.0,76.0,10.0,0.0,0.0,1.0
490000.0,7.453125,8.51413998235431E-7,490000.0,83.26591836734694,74.89767629024469,74.90420400568041,74.82940156247601,490000.0,901888.0,159.0,80.0,80.0,10.0,0.0,0.0,1.0
500000.0,7.640625,8.962397179048922E-7,500000.0,83.273,74.90804293002614,74.92233976204183,74.83624831885619,500000.0,924120.0,163.0,82.0,82.0,10.0,0.0,0.0,1.0
510000.0,7.8125,9.379958565760818E-7,510000.0,83.28960784313726,74.93307405099982,74.95017841711395,74.85839538368951,510000.0,939096.0,165.0,83.0,83.0,10.0,0.0,0.0,1.0
520000.0,8.0,9.835119191039768E-7,520000.0,83.30711538461539,74.95953834483512,74.97275353627381,74.89276282868951,520000.0,938352.0,167.0,84.0,84.0,10.0,0.0,0.0,1.0
530000.0,8.171875,1.0262701026577918E-6,530000.0,83.33415094339622,75.00037364197294,75.0147797185489,74.93956829633663,530000.0,961632.0,169.0,85.0,85.0,11.0,0.0,0.0,1.0
540000.0,8.359375,1.0739445052523582E-6,540000.0,83.34777777777778,75.02075861945939,75.03539719820765,74.95815777235043,540000.0,982848.0,173.0,87.0,87.0,11.0,0.0,0.0,1.0
550000.0,8.546875,1.1221986561496227E-6,550000.0,83.37345454545455,75.05935445691175,75.07196597971868,74.99316349635205,550000.0,994800.0,175.0,88.0,88.0,11.0,0.0,0.0,1.0
560000.0,8.734375,1.1710488534946412E-6,560000.0,83.39732142857143,75.09517916565018,75.11069350080575,75.02732959627403,560000.0,1007088.0,177.0,89.0,89.0,11.0,0.0,0.0,1.0
570000.0,8.890625,1.2117573512821564E-6,570000.0,83.40964912280701,75.11392354014977,75.13175057328593,75.0507875366066,570000.0,1007088.0,177.0,89.0,89.0,11.0,0.0,0.0,1.0
580000.0,9.0625,1.2565487931068575E-6,580000.0,83.42206896551724,75.13266986127842,75.1538157415327,75.07407628236867,580000.0,1007360.0,179.0,90.0,90.0,11.0,0.0,0.0,1.0
590000.0,9.25,1.3059430380558804E-6,590000.0,83.44372881355933,75.1652732651585,75.18834424705483,75.11083706187512,590000.0,1018304.0,181.0,91.0,91.0,11.0,0.0,0.0,1.0
