learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,6.9202441308233474E-12,1000.0,81.39999999999999,61.254036037912705,62.27180527383366,56.23529411764705,1000.0,1712.0
2000.0,0.015625,6.9202441308233474E-12,2000.0,88.6,76.65006226650063,77.15430861723446,73.85321100917432,2000.0,1712.0
3000.0,0.015625,6.9202441308233474E-12,3000.0,88.3,75.74848065267679,75.97535934291582,72.3404255319149,3000.0,1712.0
4000.0,0.015625,6.9202441308233474E-12,4000.0,89.8,79.08121410992618,78.92561983471074,76.7123287671233,4000.0,1712.0
5000.0,0.03125,1.3840488261646695E-11,5000.0,89.4,77.73483448159973,78.00829875518673,74.01960784313727,5000.0,1712.0
6000.0,0.03125,1.3840488261646695E-11,6000.0,88.2,75.95027004993376,77.13178294573643,73.48314606741573,6000.0,1712.0
7000.0,0.03125,1.3840488261646695E-11,7000.0,88.4,76.3600125536485,76.42276422764228,74.39293598233996,7000.0,1712.0
8000.0,0.03125,1.3840488261646695E-11,8000.0,88.0,75.07477567298105,76.19047619047619,71.42857142857143,8000.0,1712.0
9000.0,0.03125,1.3840488261646695E-11,9000.0,88.2,75.68183598016628,75.05285412262155,72.62180974477958,9000.0,1712.0
10000.0,0.03125,1.3840488261646695E-11,10000.0,88.2,75.8856899962398,76.16161616161617,73.0593607305936,10000.0,1712.0
11000.0,0.03125,1.3840488261646695E-11,11000.0,89.7,78.7386881564172,78.22410147991543,75.41766109785203,11000.0,1712.0
12000.0,0.03125,1.3840488261646695E-11,12000.0,88.6,76.60098522167488,77.15430861723446,73.85321100917432,12000.0,1712.0
13000.0,0.046875,2.0760732392470043E-11,13000.0,86.9,72.84658944872358,73.90438247011953,69.03073286052009,13000.0,1712.0
14000.0,0.046875,2.0760732392470043E-11,14000.0,88.8,77.0597102969129,77.37373737373737,74.3119266055046,14000.0,1712.0
15000.0,0.046875,2.0760732392470043E-11,15000.0,87.4,74.16465725111954,75.53398058252428,71.49321266968326,15000.0,1712.0
16000.0,0.046875,2.0760732392470043E-11,16000.0,86.9,72.39431870864415,73.1006160164271,67.65432098765433,16000.0,1712.0
17000.0,0.046875,2.0760732392470043E-11,17000.0,88.3,75.98817879571482,77.54318618042227,73.10344827586206,17000.0,1712.0
18000.0,0.046875,2.0760732392470043E-11,18000.0,88.0,74.84065749748406,75.75757575757575,70.73170731707317,18000.0,1712.0
19000.0,0.046875,2.0760732392470043E-11,19000.0,88.6,76.42601905770249,77.2,73.36448598130842,19000.0,1712.0
20000.0,0.046875,2.0760732392470043E-11,20000.0,86.8,72.59090682569477,73.38709677419355,68.72037914691943,20000.0,1712.0
21000.0,0.046875,2.0760732392470043E-11,21000.0,79.2,54.42993602664098,51.51515151515152,31.125827814569558,21000.0,1712.0
22000.0,0.046875,2.0760732392470043E-11,22000.0,78.5,53.20390040048757,51.025056947608206,29.508196721311496,22000.0,1712.0
23000.0,0.046875,2.0760732392470043E-11,23000.0,79.10000000000001,52.528914206801325,49.39467312348669,25.886524822695055,23000.0,1712.0
24000.0,0.046875,2.0760732392470043E-11,24000.0,79.0,53.771171702673804,51.61290322580646,32.47588424437301,24000.0,1712.0
25000.0,0.046875,2.0760732392470043E-11,25000.0,81.0,55.8254594152221,50.52083333333335,31.1594202898551,25000.0,1712.0
26000.0,0.046875,2.0760732392470043E-11,26000.0,79.4,54.359953739603604,52.53456221198158,31.10367892976591,26000.0,1712.0
27000.0,0.046875,2.0760732392470043E-11,27000.0,81.3,58.08528188208291,55.36992840095465,40.25559105431307,27000.0,1712.0
28000.0,0.0625,2.768097652329339E-11,28000.0,84.7,64.90213890494672,65.14806378132117,50.1628664495114,28000.0,1712.0
29000.0,0.0625,2.768097652329339E-11,29000.0,82.5,60.4930467762326,59.112149532710276,44.62025316455694,29000.0,1712.0
30000.0,0.0625,2.768097652329339E-11,30000.0,83.39999999999999,62.11982912848223,60.66350710900473,45.033112582781456,30000.0,1712.0
31000.0,0.0625,2.768097652329339E-11,31000.0,83.2,61.74863387978141,59.808612440191375,43.99999999999999,31000.0,1712.0
32000.0,0.0625,2.768097652329339E-11,32000.0,83.89999999999999,63.37946156435661,61.11111111111111,47.896440129449836,32000.0,1712.0
33000.0,0.0625,2.768097652329339E-11,33000.0,82.3,58.33529494844875,57.24637681159419,38.9655172413793,33000.0,1712.0
34000.0,0.0625,2.768097652329339E-11,34000.0,84.39999999999999,63.69593953046747,63.03317535545023,47.651006711409394,34000.0,1712.0
35000.0,0.0625,2.768097652329339E-11,35000.0,82.3,58.69735663082436,59.02777777777777,40.4040404040404,35000.0,1712.0
36000.0,0.0625,2.768097652329339E-11,36000.0,83.89999999999999,60.02701280128707,60.5392156862745,41.87725631768953,36000.0,1712.0
