learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.1875,7.393149038155874E-9,10000.0,81.24,61.39256761651378,61.706470708307826,56.07586045422618,10000.0,152416.0,50.0,39.0,39.0,3.0,0.0,0.0,1.0
20000.0,0.234375,9.628323217233023E-9,20000.0,84.35000000000001,67.74445396286487,68.03839477177577,63.27584183972781,20000.0,184320.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.28125,1.2113790338238081E-8,30000.0,85.83,70.77819743093954,70.91742491619345,66.54863078375824,30000.0,204960.0,71.0,51.0,51.0,4.0,0.0,0.0,1.0
40000.0,0.375,1.8860834340254468E-8,40000.0,86.6875,72.56811157592206,72.67829656233965,68.54881578170219,40000.0,278192.0,105.0,71.0,71.0,4.0,0.0,0.0,1.0
50000.0,0.421875,2.2495320687691372E-8,50000.0,87.30799999999999,73.82485498553069,73.9512355307446,69.9127631329414,50000.0,299712.0,112.0,76.0,76.0,5.0,0.0,0.0,1.0
60000.0,0.515625,3.024508866171042E-8,60000.0,87.85666666666667,74.94372043569219,74.9682207029237,71.11481129083414,60000.0,319536.0,124.0,82.0,82.0,5.0,0.0,0.0,1.0
70000.0,0.59375,3.717519575729966E-8,70000.0,88.27142857142857,75.82584011494163,75.81595381171202,72.18740472238218,70000.0,342888.0,136.0,91.0,91.0,5.0,0.0,0.0,1.0
80000.0,0.6875,4.596338840201497E-8,80000.0,88.64,76.5915522104574,76.58214801071944,73.0614180697178,80000.0,362352.0,142.0,94.0,94.0,5.0,0.0,0.0,1.0
90000.0,0.78125,5.598868786667784E-8,90000.0,88.89111111111112,77.11390227205112,77.08562522918957,73.64925412471666,90000.0,413360.0,166.0,106.0,106.0,6.0,0.0,0.0,1.0
100000.0,0.890625,6.868245287073983E-8,100000.0,89.18199999999999,77.69587140592553,77.72194649807449,74.28754783352744,100000.0,448616.0,184.0,115.0,115.0,6.0,0.0,0.0,1.0
110000.0,0.984375,8.016003347519371E-8,110000.0,89.42181818181818,78.19517301252372,78.22686276711201,74.8845240664796,110000.0,473240.0,194.0,120.0,120.0,6.0,0.0,0.0,1.0
120000.0,1.078125,9.252004221909576E-8,120000.0,89.66416666666667,78.69511749842813,78.71350850395594,75.45078479108524,120000.0,509624.0,212.0,132.0,132.0,6.0,0.0,0.0,1.0
130000.0,1.1875,1.0777103145503335E-7,130000.0,89.84,79.06505795378756,79.08206898736181,75.89121109792826,130000.0,538992.0,221.0,138.0,138.0,6.0,0.0,0.0,1.0
140000.0,1.265625,1.189512679249876E-7,140000.0,90.06214285714286,79.5343566705282,79.58204311647906,76.44818363408606,140000.0,553176.0,229.0,142.0,142.0,6.0,0.0,0.0,1.0
150000.0,1.390625,1.3774277047357626E-7,150000.0,90.20266666666666,79.82879171801446,79.8676657944847,76.80152804306303,150000.0,581104.0,241.0,148.0,148.0,6.0,0.0,0.0,1.0
160000.0,1.5,1.5497511614941888E-7,160000.0,90.364375,80.17260801234465,80.21533802166213,77.2177151216917,160000.0,609016.0,258.0,158.0,158.0,6.0,0.0,0.0,1.0
170000.0,1.609375,1.7265905626118182E-7,170000.0,90.50058823529412,80.4579719506477,80.51543779635864,77.55867761704258,170000.0,624976.0,264.0,161.0,161.0,6.0,0.0,0.0,1.0
180000.0,1.734375,1.9433843489322397E-7,180000.0,90.65722222222222,80.77969131172136,80.83925804393401,77.91247471696131,180000.0,670408.0,284.0,174.0,174.0,6.0,0.0,0.0,1.0
190000.0,1.859375,2.1784941458867657E-7,190000.0,90.75842105263158,80.9853103893708,81.04127751924592,78.1386952191235,190000.0,727048.0,308.0,189.0,189.0,6.0,0.0,0.0,1.0
200000.0,1.984375,2.421734906319115E-7,200000.0,90.8925,81.26118964167664,81.31411571604431,78.44251139120658,200000.0,752192.0,313.0,193.0,193.0,6.0,0.0,0.0,1.0
210000.0,2.109375,2.667849831697014E-7,210000.0,91.02285714285713,81.52957657241522,81.58049009262515,78.74897137897216,210000.0,761080.0,317.0,195.0,195.0,6.0,0.0,0.0,1.0
220000.0,2.203125,2.8548070177849796E-7,220000.0,91.15727272727273,81.80687937056808,81.85413538042515,79.06416133961818,220000.0,770856.0,323.0,198.0,198.0,6.0,0.0,0.0,1.0
230000.0,2.3125,3.0778335510856576E-7,230000.0,91.27434782608695,82.04679501186301,82.09739431405607,79.3328939509402,230000.0,788208.0,328.0,202.0,202.0,6.0,0.0,0.0,1.0
240000.0,2.4375,3.337271563294861E-7,240000.0,91.37166666666666,82.2487740503145,82.30886863215807,79.56117926902691,240000.0,802280.0,336.0,206.0,206.0,6.0,0.0,0.0,1.0
250000.0,2.5625,3.604276571422815E-7,250000.0,91.46640000000001,82.44423893664657,82.49876948318294,79.780498900599,250000.0,825680.0,353.0,216.0,216.0,6.0,0.0,0.0,1.0
260000.0,2.6875,3.878532960597011E-7,260000.0,91.56115384615384,82.64337338024785,82.69650870261275,80.01457393997357,260000.0,848104.0,357.0,218.0,218.0,6.0,0.0,0.0,1.0
270000.0,2.8125,4.1618982019523776E-7,270000.0,91.63592592592592,82.80020249657863,82.85751155711758,80.19747283871588,270000.0,876272.0,368.0,225.0,225.0,6.0,0.0,0.0,1.0
280000.0,2.9375,4.4489706245561437E-7,280000.0,91.72035714285714,82.97393948387992,83.0176101734646,80.39061442685073,280000.0,887736.0,374.0,228.0,228.0,7.0,0.0,0.0,1.0
