learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.046875,4.928248624006907E-11,10000.0,72.72,42.6880642431505,45.12170589418627,34.8926014319809,10000.0,4064.0
20000.0,0.078125,8.213747706678178E-11,20000.0,72.94,43.04348825420336,44.904815229563276,35.770234986945184,20000.0,4064.0
30000.0,0.109375,1.1499246789349448E-10,30000.0,73.19,43.41807822721177,45.19250425894378,36.05501669581809,30000.0,4064.0
40000.0,0.140625,1.478474587202072E-10,40000.0,73.2525,43.56921701262735,45.040324651975126,36.307893796880585,40000.0,4064.0
50000.0,0.15625,1.6427495413356356E-10,50000.0,73.286,43.67547004268739,45.150295663600524,36.59150249228577,50000.0,4064.0
60000.0,0.1875,1.9712994496027626E-10,60000.0,73.32833333333333,43.81997200896132,45.33747779751331,36.899175900003925,60000.0,4064.0
70000.0,0.21875,2.2998493578698897E-10,70000.0,73.31428571428572,43.844903953592315,45.34016093635698,37.008936098465675,70000.0,4064.0
80000.0,0.25,2.628399266137017E-10,80000.0,73.3075,43.863805231789264,45.29104324656693,37.11273412651668,80000.0,4064.0
90000.0,0.265625,2.7926742202705804E-10,90000.0,73.35222222222222,43.91410176542464,45.37897421882116,37.09377049180328,90000.0,4064.0
100000.0,0.296875,3.1212241285377077E-10,100000.0,73.35000000000001,43.89377240558252,45.28057819846827,37.0229458610015,100000.0,4064.0
110000.0,0.328125,3.449774036804835E-10,110000.0,73.37363636363636,43.92630161204005,45.34308694272865,37.05080811554334,110000.0,4064.0
120000.0,0.359375,3.7783239450719624E-10,120000.0,73.395,43.939371349649896,45.344358276411064,36.989816057472176,120000.0,4064.0
130000.0,0.375,3.942598899205526E-10,130000.0,73.41846153846154,43.99368861876432,45.428991045907495,37.05187991839116,130000.0,4064.0
140000.0,0.40625,4.271148807472653E-10,140000.0,73.42785714285715,43.99857100237908,45.500227076282975,37.03070516943702,140000.0,4064.0
150000.0,0.4375,4.5996987157397804E-10,150000.0,73.45133333333334,44.02508314376749,45.51586378623907,37.04470722144935,150000.0,4064.0
160000.0,0.46875,4.928248624006907E-10,160000.0,73.478125,44.100473930665714,45.61219127693118,37.153816533870454,160000.0,4064.0
170000.0,0.484375,5.092523578140471E-10,170000.0,73.49117647058824,44.12154454675136,45.634733934107835,37.13907100013949,170000.0,4064.0
180000.0,0.515625,5.421073486407597E-10,180000.0,73.52833333333334,44.182477689455524,45.71832173249335,37.18658546231115,180000.0,4064.0
190000.0,0.546875,5.749623394674724E-10,190000.0,73.51736842105264,44.16058837967751,45.71767625006743,37.176781990935545,190000.0,4064.0
200000.0,0.578125,6.078173302941851E-10,200000.0,73.5095,44.14614977388704,45.693931939319405,37.18983770198339,200000.0,4064.0
210000.0,0.59375,6.242448257075414E-10,210000.0,73.50333333333333,44.11969207452152,45.68606206135855,37.121580237984915,210000.0,4064.0
220000.0,0.625,6.570998165342541E-10,220000.0,73.49909090909091,44.11577464320011,45.66044066659211,37.13731198447356,220000.0,4064.0
230000.0,0.640625,6.735273119476105E-10,230000.0,73.4804347826087,44.088034532331136,45.62901687421445,37.11142500695955,230000.0,4064.0
240000.0,0.65625,6.899548073609668E-10,240000.0,73.47083333333333,44.077181633156066,45.611877060803295,37.11232270554303,240000.0,4064.0
250000.0,0.6875,7.228097981876795E-10,250000.0,73.48479999999999,44.10525834558731,45.61475477085144,37.13857621075189,250000.0,4064.0
260000.0,0.71875,7.556647890143922E-10,260000.0,73.48384615384616,44.09230111404448,45.6164707738424,37.09614138815135,260000.0,4064.0
270000.0,0.734375,7.720922844277485E-10,270000.0,73.4888888888889,44.09371679649976,45.63227732247701,37.08690760793137,270000.0,4064.0
280000.0,0.765625,8.049472752544612E-10,280000.0,73.49142857142857,44.111494676712056,45.63738235617241,37.13559752689084,280000.0,4064.0
290000.0,0.796875,8.378022660811739E-10,290000.0,73.49379310344828,44.110392565560694,45.64521033241644,37.130518705118355,290000.0,4064.0
300000.0,0.8125,8.542297614945302E-10,300000.0,73.50333333333333,44.1480972536384,45.708743699373,37.203257941429726,300000.0,4064.0
310000.0,0.84375,8.870847523212429E-10,310000.0,73.49516129032259,44.13085861734875,45.69398545935229,37.17119349116047,310000.0,4064.0
320000.0,0.875,9.199397431479556E-10,320000.0,73.4903125,44.1122664353774,45.68486967211541,37.12123458254269,320000.0,4064.0
330000.0,0.90625,9.527947339746683E-10,330000.0,73.48515151515151,44.105690550545184,45.67944921436065,37.115772981752585,330000.0,4064.0
340000.0,0.9375,9.85649724801381E-10,340000.0,73.46764705882353,44.064978051612854,45.65564437911529,37.06703501391765,340000.0,4064.0
350000.0,0.953125,1.0020772202147375E-9,350000.0,73.48371428571429,44.09918744602232,45.70086240185351,37.110272343482116,350000.0,4064.0
360000.0,0.984375,1.0349322110414502E-9,360000.0,73.48444444444443,44.092565924490245,45.70038965840893,37.092809458221566,360000.0,4064.0
370000.0,1.015625,1.0677872018681628E-9,370000.0,73.47,44.06785629535545,45.687284557883736,37.07426520080772,370000.0,4064.0
380000.0,1.03125,1.0842146972815193E-9,380000.0,73.46342105263159,44.04731386621382,45.66366531417211,37.04330344879255,380000.0,4064.0
390000.0,1.0625,1.117069688108232E-9,390000.0,73.46230769230769,44.04881075401082,45.67599911819356,37.05787194706627,390000.0,4064.0
400000.0,1.09375,1.1499246789349446E-9,400000.0,73.45525,44.02817018826129,45.65318646895939,37.02686673388295,400000.0,4064.0
410000.0,1.09375,1.1499246789349446E-9,410000.0,73.44439024390243,44.01084991649305,45.62434763500521,37.022876478584024,410000.0,4064.0
420000.0,1.125,1.1827796697616573E-9,420000.0,73.4595238095238,44.05326953461463,45.66573729259685,37.0922594189485,420000.0,4064.0
430000.0,1.15625,1.21563466058837E-9,430000.0,73.46186046511627,44.058870817445865,45.66362242517166,37.10509490949977,430000.0,4064.0
440000.0,1.171875,1.2320621560017264E-9,440000.0,73.4715909090909,44.0686523666307,45.66760537156423,37.09920784609581,440000.0,4064.0
450000.0,1.203125,1.2649171468284391E-9,450000.0,73.48688888888888,44.10041115650762,45.70150367727372,37.135314852966744,450000.0,4064.0
460000.0,1.234375,1.2977721376551518E-9,460000.0,73.48,44.082979655279,45.67703323714866,37.11006975053744,460000.0,4064.0
470000.0,1.25,1.3141996330685082E-9,470000.0,73.47595744680852,44.082717482861206,45.669009941120336,37.12526226597806,470000.0,4064.0
480000.0,1.28125,1.347054623895221E-9,480000.0,73.46729166666667,44.064624842306905,45.635730323649184,37.105169586946644,480000.0,4064.0
490000.0,1.3125,1.3799096147219336E-9,490000.0,73.47204081632654,44.07125811270954,45.63669973401141,37.10681781893662,490000.0,4064.0
500000.0,1.328125,1.39633711013529E-9,500000.0,73.4688,44.05695153409075,45.62431854141219,37.08244601382084,500000.0,4064.0
510000.0,1.359375,1.4291921009620027E-9,510000.0,73.47803921568628,44.07271636011633,45.6209118795203,37.09651166575983,510000.0,4064.0
520000.0,1.390625,1.4620470917887154E-9,520000.0,73.47288461538461,44.05509340783837,45.6141526766916,37.06726645619286,520000.0,4064.0
530000.0,1.40625,1.4784745872020719E-9,530000.0,73.48075471698114,44.06612677057936,45.602390287136345,37.06617472563392,530000.0,4064.0
540000.0,1.4375,1.5113295780287845E-9,540000.0,73.47944444444444,44.06702411620699,45.60815814960406,37.06947312914706,540000.0,4064.0
550000.0,1.46875,1.5441845688554972E-9,550000.0,73.47200000000001,44.04839650848931,45.58156015142757,37.042231034438124,550000.0,4064.0
560000.0,1.5,1.5770395596822099E-9,560000.0,73.47410714285715,44.0559728726955,45.57535255388607,37.04573290896223,560000.0,4064.0
570000.0,1.53125,1.6098945505089226E-9,570000.0,73.4838596491228,44.074366428544145,45.58676876662815,37.068480944668124,570000.0,4064.0
580000.0,1.5625,1.6427495413356353E-9,580000.0,73.4805172413793,44.070201152825305,45.57642363297973,37.06814722681373,580000.0,4064.0
590000.0,1.578125,1.6591770367489917E-9,590000.0,73.48254237288135,44.072419777861,45.581943777782406,37.063840057926704,590000.0,4064.0
600000.0,1.609375,1.6920320275757044E-9,600000.0,73.48266666666666,44.072954714469695,45.57588569512999,37.063540096755936,600000.0,4064.0
610000.0,1.625,1.7084595229890608E-9,610000.0,73.48360655737704,44.0740028116878,45.57372194985716,37.05294946334477,610000.0,4064.0
620000.0,1.65625,1.7413145138157735E-9,620000.0,73.47629032258064,44.062118046260665,45.55203856621614,37.04968361577594,620000.0,4064.0
630000.0,1.6875,1.7741695046424862E-9,630000.0,73.4779365079365,44.065362098465556,45.554284746049895,37.05301306490257,630000.0,4064.0
640000.0,1.71875,1.8070244954691989E-9,640000.0,73.46546875,44.03517272337512,45.52304879222404,37.01328566024018,640000.0,4064.0
650000.0,1.75,1.8398794862959115E-9,650000.0,73.47692307692307,44.06086873311516,45.55107429246399,37.04352906806894,650000.0,4064.0
660000.0,1.765625,1.856306981709268E-9,660000.0,73.48363636363636,44.07422668709637,45.57142723854486,37.0560858587675,660000.0,4064.0
670000.0,1.796875,1.8891619725359807E-9,670000.0,73.48850746268657,44.087296384597664,45.586131474066974,37.077079488333055,670000.0,4064.0
680000.0,1.828125,1.9220169633626936E-9,680000.0,73.50117647058823,44.11784169171325,45.60799797152897,37.116075198833,680000.0,4064.0
690000.0,1.84375,1.93844445877605E-9,690000.0,73.50304347826086,44.11943097747043,45.601016397442336,37.11013955344273,690000.0,4064.0
700000.0,1.875,1.971299449602763E-9,700000.0,73.50771428571429,44.13026369138663,45.61860356001291,37.123947663754194,700000.0,4064.0
710000.0,1.90625,2.0041544404294758E-9,710000.0,73.50887323943662,44.13576889963874,45.619320498104784,37.1406895952463,710000.0,4064.0
720000.0,1.921875,2.0205819358428322E-9,720000.0,73.51652777777777,44.15760616682351,45.63202299250405,37.16768377071003,720000.0,4064.0
730000.0,1.953125,2.053436926669545E-9,730000.0,73.52054794520548,44.16398738827624,45.62771439501339,37.16886071834878,730000.0,4064.0
740000.0,1.984375,2.086291917496258E-9,740000.0,73.51986486486487,44.16585241066878,45.63822438488492,37.181665469839984,740000.0,4064.0
750000.0,2.0,2.1027194129096144E-9,750000.0,73.52306666666667,44.17315574350482,45.65980631196417,37.187403128973706,750000.0,4064.0
760000.0,2.03125,2.1355744037363273E-9,760000.0,73.51697368421053,44.1669215018646,45.665871199032495,37.19309742245523,760000.0,4064.0
770000.0,2.0625,2.1684293945630402E-9,770000.0,73.51532467532468,44.163368162794114,45.65494305190619,37.18772041679374,770000.0,4064.0
780000.0,2.078125,2.1848568899763967E-9,780000.0,73.5225641025641,44.17539392128009,45.66587740068403,37.19142983136415,780000.0,4064.0
790000.0,2.109375,2.2177118808031095E-9,790000.0,73.52607594936708,44.17906324062775,45.6575456720963,37.19135339023262,790000.0,4064.0
800000.0,2.140625,2.2505668716298224E-9,800000.0,73.53275000000001,44.19447069940989,45.68132434769001,37.20644015219591,800000.0,4064.0
810000.0,2.171875,2.2834218624565353E-9,810000.0,73.5362962962963,44.20338859200948,45.68852155802565,37.21853839124629,810000.0,4064.0
820000.0,2.1875,2.2998493578698918E-9,820000.0,73.53817073170732,44.20386897632045,45.67964592022191,37.2129563184333,820000.0,4064.0
830000.0,2.21875,2.3327043486966046E-9,830000.0,73.53963855421686,44.20640864651661,45.69522504902046,37.21759911724264,830000.0,4064.0
840000.0,2.25,2.3655593395233175E-9,840000.0,73.53333333333333,44.18982754324196,45.68313861158752,37.19632082080949,840000.0,4064.0
850000.0,2.265625,2.381986834936674E-9,850000.0,73.53764705882352,44.197591324440275,45.696234008599575,37.200913522477904,850000.0,4064.0
860000.0,2.296875,2.414841825763387E-9,860000.0,73.53732558139535,44.197748097575754,45.696867021403534,37.20330237358102,860000.0,4064.0
870000.0,2.3125,2.4312693211767433E-9,870000.0,73.53367816091954,44.19049841817107,45.68488045139739,37.192587177584755,870000.0,4064.0
880000.0,2.34375,2.464124312003456E-9,880000.0,73.53977272727272,44.20190706852075,45.69868776687164,37.20469892774696,880000.0,4064.0
890000.0,2.375,2.496979302830169E-9,890000.0,73.54404494382023,44.20698335315784,45.70058736846474,37.20416686668906,890000.0,4064.0
900000.0,2.390625,2.5134067982435255E-9,900000.0,73.54688888888889,44.215117225663484,45.7024327831614,37.21770408109447,900000.0,4064.0
910000.0,2.421875,2.5462617890702384E-9,910000.0,73.54956043956044,44.21792488778803,45.69543745022436,37.21004852089529,910000.0,4064.0
920000.0,2.453125,2.5791167798969513E-9,920000.0,73.555,44.22968249318997,45.699727487596334,37.21996005511775,920000.0,4064.0
930000.0,2.46875,2.5955442753103077E-9,930000.0,73.55473118279569,44.22892083926128,45.70647086872825,37.216705383810265,930000.0,4064.0
940000.0,2.5,2.6283992661370206E-9,940000.0,73.55585106382979,44.23568999088889,45.711521409633136,37.231229972450684,940000.0,4064.0
950000.0,2.53125,2.6612542569637335E-9,950000.0,73.56031578947369,44.24283345229426,45.71962657215715,37.234308389682695,950000.0,4064.0
960000.0,2.546875,2.67768175237709E-9,960000.0,73.56031250000001,44.24324892860352,45.71091851750454,37.23888789982791,960000.0,4064.0
970000.0,2.578125,2.710536743203803E-9,970000.0,73.56164948453609,44.2489778660043,45.718815284548036,37.24993148807892,970000.0,4064.0
980000.0,2.59375,2.7269642386171593E-9,980000.0,73.56653061224489,44.262864148322926,45.73331294345369,37.26648810705827,980000.0,4064.0
990000.0,2.625,2.759819229443872E-9,990000.0,73.56404040404041,44.2609198356431,45.73303613083822,37.27026068281833,990000.0,4064.0
1000000.0,2.65625,2.792674220270585E-9,1000000.0,73.56479999999999,44.26067976095528,45.73242706727403,37.26517632540698,1000000.0,4064.0
